2025-08-27 15:46:46,677 | INFO | pages.base_page | Opening URL: https://opensource-demo.orangehrmlive.com/
2025-08-27 15:46:49,805 | INFO | pages.base_page | Typing text into element ('name', 'username'): 'Admin'
2025-08-27 15:46:49,805 | INFO | pages.base_page | Waiting for element to be clickable: ('name', 'username') (timeout=10)
2025-08-27 15:46:50,453 | INFO | pages.base_page | Successfully typed text into element ('name', 'username')
2025-08-27 15:46:50,453 | INFO | pages.base_page | Typing text into element ('name', 'password'): 'admin123'
2025-08-27 15:46:50,453 | INFO | pages.base_page | Waiting for element to be clickable: ('name', 'password') (timeout=10)
2025-08-27 15:46:50,533 | INFO | pages.base_page | Successfully typed text into element ('name', 'password')
2025-08-27 15:46:50,533 | INFO | pages.base_page | Clicking element: ('xpath', "//button[@type='submit']")
2025-08-27 15:46:50,597 | INFO | pages.base_page | Checking visibility of element: ('xpath', "//span[text()='Admin']")
2025-08-27 15:46:52,438 | INFO | pages.base_page | Clicking element: ('xpath', "//span[text()='Admin']")
2025-08-27 15:46:53,499 | INFO | pages.base_page | Checking visibility of element: ('xpath', "//span[text()='PIM']")
2025-08-27 15:46:54,163 | INFO | pages.base_page | Clicking element: ('xpath', "//span[text()='PIM']")
2025-08-27 15:46:55,041 | INFO | pages.base_page | Checking visibility of element: ('xpath', "//span[text()='Leave']")
2025-08-27 15:46:55,698 | INFO | pages.base_page | Clicking element: ('xpath', "//span[text()='Leave']")
2025-08-27 15:46:56,586 | INFO | pages.base_page | Checking visibility of element: ('xpath', "//span[text()='Time']")
2025-08-27 15:46:57,250 | INFO | pages.base_page | Clicking element: ('xpath', "//span[text()='Time']")
2025-08-27 15:46:58,174 | INFO | pages.base_page | Checking visibility of element: ('xpath', "//span[text()='Recruitment']")
2025-08-27 15:46:58,797 | INFO | pages.base_page | Clicking element: ('xpath', "//span[text()='Recruitment']")
2025-08-27 15:46:59,691 | INFO | pages.base_page | Checking visibility of element: ('xpath', "//span[text()='My Info']")
2025-08-27 15:47:00,385 | INFO | pages.base_page | Clicking element: ('xpath', "//span[text()='My Info']")
2025-08-27 15:47:01,377 | INFO | pages.base_page | Checking visibility of element: ('xpath', "//span[text()='Performance']")
2025-08-27 15:47:02,055 | INFO | pages.base_page | Clicking element: ('xpath', "//span[text()='Performance']")
2025-08-27 15:47:03,055 | INFO | pages.base_page | Checking visibility of element: ('xpath', "//span[text()='Dashboard']")
2025-08-27 15:47:03,721 | INFO | pages.base_page | Clicking element: ('xpath', "//span[text()='Dashboard']")
